iter	Passed	Remaining
411	3935	5616
412	3944	5606
413	3952	5594
414	3960	5583
415	3969	5572
416	3978	5562
417	3986	5550
418	3995	5539
419	4003	5528
420	4012	5517
421	4020	5506
422	4029	5496
423	4037	5484
424	4046	5474
425	4053	5462
426	4062	5452
427	4070	5440
428	4080	5431
429	4088	5419
430	4097	5409
431	4105	5398
432	4114	5388
433	4122	5376
434	4131	5365
435	4139	5354
436	4148	5344
437	4156	5333
438	4164	5322
439	4173	5311
440	4182	5301
441	4190	5290
442	4199	5279
443	4207	5269
444	4216	5258
445	4225	5248
446	4233	5237
447	4243	5228
448	4250	5216
449	4260	5207
450	4268	5195
451	4277	5185
452	4285	5174
453	4294	5164
454	4302	5153
455	4311	5143
456	4319	5131
457	4328	5122
458	4336	5110
459	4344	5100
460	4352	5089
461	4360	5078
462	4369	5067
463	4376	5056
464	4384	5044
465	4392	5033
466	4400	5022
467	4408	5011
468	4416	5000
469	4425	4989
470	4432	4978
471	4441	4968
472	4448	4956
473	4457	4946
474	4465	4935
475	4473	4925
476	4481	4913
477	4490	4903
478	4497	4892
479	4506	4881
480	4514	4870
481	4522	4859
482	4529	4848
483	4537	4837
484	4545	4826
485	4554	4816
486	4561	4805
487	4569	4794
488	4577	4783
489	4587	4774
490	4599	4767
491	4608	4757
492	4617	4748
493	4626	4738
494	4635	4729
495	4644	4719
496	4653	4709
497	4666	4703
498	4683	4702
499	4723	4723
500	4743	4725
501	4758	4720
502	4772	4715
503	4784	4708
504	4794	4699
505	4805	4691
506	4815	4682
507	4824	4672
508	4836	4665
509	4846	4656
510	4856	4647
511	4865	4637
512	4874	4627
513	4885	4619
514	4894	4609
515	4904	4599
516	4913	4590
517	4922	4580
518	4932	4571
519	4941	4561
520	4950	4551
521	4957	4540
522	4967	4530
523	4975	4519
524	4984	4509
525	4992	4498
526	5000	4488
527	5008	4477
528	5017	4467
529	5025	4456
530	5034	4446
531	5043	4436
532	5051	4426
533	5059	4415
534	5069	4406
535	5078	4396
536	5087	4386
537	5097	4377
538	5105	4366
539	5115	4357
540	5122	4346
541	5131	4336
542	5139	4325
543	5147	4315
544	5155	4304
545	5163	4293
546	5171	4283
547	5180	4272
548	5188	4262
549	5196	4251
550	5203	4240
551	5212	4230
552	5219	4219
553	5228	4209
554	5235	4198
555	5244	4187
556	5252	4177
557	5261	4167
558	5268	4156
559	5276	4146
560	5284	4135
561	5293	4125
562	5300	4114
563	5309	4104
564	5317	4093
565	5326	4084
566	5334	4074
567	5343	4063
568	5351	4053
569	5359	4043
570	5367	4032
571	5375	4022
572	5383	4011
573	5391	4001
574	5400	3991
575	5408	3981
576	5417	3971
577	5427	3962
578	5435	3952
579	5444	3942
580	5452	3932
581	5462	3922
582	5470	3913
583	5479	3903
584	5488	3893
585	5497	3883
586	5505	3873
587	5514	3863
588	5523	3854
589	5532	3844
590	5541	3834
591	5549	3824
592	5558	3814
593	5566	3804
594	5576	3796
595	5585	3786
596	5593	3776
597	5603	3766
598	5612	3757
599	5621	3747
600	5630	3737
601	5639	3728
602	5647	3717
603	5655	3707
604	5663	3697
605	5673	3688
606	5681	3678
607	5691	3669
608	5700	3660
609	5712	3652
610	5725	3645
611	5734	3635
612	5742	3625
613	5752	3616
614	5761	3606
615	5772	3598
616	5779	3587
617	5789	3578
618	5797	3568
619	5806	3558
620	5815	3548
621	5824	3539
622	5834	3530
623	5842	3520
624	5850	3510
625	5859	3500
626	5870	3492
627	5878	3482
628	5888	3472
629	5897	3463
630	5906	3453
631	5915	3444
632	5923	3434
633	5932	3424
634	5940	3414
635	5949	3404
636	5957	3394
637	5966	3385
638	5974	3375
639	5983	3365
640	5991	3355
641	6002	3346
642	6010	3336
643	6019	3327
644	6029	3318
645	6039	3309
646	6048	3300
647	6056	3290
648	6065	3280
649	6072	3270
650	6082	3260
651	6089	3250
652	6098	3240
653	6107	3230
654	6115	3221
655	6123	3211
656	6132	3201
657	6140	3191
658	6149	3182
659	6157	3172
660	6166	3162
661	6174	3152
662	6182	3142
663	6191	3132
664	6200	3123
665	6207	3113
666	6217	3103
667	6225	3094
668	6233	3084
669	6242	3074
670	6250	3064
671	6259	3055
672	6268	3045
673	6277	3036
674	6285	3026
675	6293	3016
676	6301	3006
677	6309	2996
678	6317	2986
679	6325	2976
680	6333	2966
681	6341	2957
682	6349	2947
683	6358	2937
684	6365	2927
685	6374	2917
686	6382	2908
687	6391	2898
688	6398	2888
689	6407	2878
690	6415	2868
691	6424	2859
692	6431	2849
693	6440	2839
694	6448	2830
695	6456	2820
696	6464	2810
697	6473	2800
698	6480	2790
699	6489	2781
700	6497	2771
701	6505	2761
702	6514	2752
703	6523	2742
704	6531	2732
705	6539	2723
706	6547	2713
707	6556	2704
708	6565	2694
709	6574	2685
710	6583	2675
711	6592	2666
712	6599	2656
713	6608	2646
714	6615	2636
715	6623	2627
716	6631	2617
717	6639	2607
718	6647	2597
719	6655	2588
720	6663	2578
721	6671	2568
722	6679	2559
723	6688	2549
724	6695	2539
725	6704	2530
726	6712	2520
727	6720	2510
728	6728	2501
729	6736	2491
730	6744	2481
731	6752	2472
732	6760	2462
733	6769	2453
734	6777	2443
735	6788	2434
736	6797	2425
737	6806	2416
