iter	RMSE
328	46.2826161
329	46.247776
330	46.20890111
331	46.16643236
332	46.12211346
333	46.06848245
334	45.99966542
335	45.95708389
336	45.90431124
337	45.87188
338	45.83308074
339	45.79373861
340	45.75040237
341	45.70399539
342	45.62999819
343	45.58736531
344	45.54167976
345	45.48312025
346	45.42661221
347	45.38386935
348	45.34358199
349	45.29652174
350	45.26059808
351	45.20270985
352	45.1594523
353	45.10589941
354	45.05696934
355	45.02742209
356	44.97056218
357	44.92417032
358	44.87874202
359	44.83825519
360	44.78676053
361	44.73450018
362	44.69642358
363	44.6578964
364	44.63055928
365	44.59155657
366	44.55927943
367	44.49640426
368	44.45061739
369	44.40396277
370	44.36137063
371	44.31913595
372	44.29021621
373	44.24025263
374	44.19588813
375	44.14895074
376	44.10848759
377	44.05513688
378	44.02531144
379	43.98383357
380	43.93379395
381	43.89158749
382	43.8510269
383	43.80619056
384	43.75941886
385	43.71962556
386	43.68548258
387	43.63383757
388	43.59747699
389	43.56457977
390	43.51510766
391	43.48397432
392	43.44348374
393	43.40305964
394	43.37379548
395	43.33619317
396	43.307401
397	43.25748804
398	43.21465044
399	43.17341688
400	43.1407059
401	43.11440495
402	43.08683939
403	43.05602783
404	43.02758231
405	42.98685406
406	42.95720996
407	42.92059798
408	42.88500744
409	42.84154684
410	42.81275864
411	42.78143031
412	42.74471132
413	42.71833249
414	42.67960531
415	42.63375689
416	42.59605883
417	42.56415863
418	42.52566542
419	42.50167235
420	42.47667312
421	42.43965027
422	42.40791637
423	42.37171738
424	42.33305028
425	42.30484806
426	42.27673667
427	42.24013584
428	42.19918953
429	42.17576187
430	42.14324386
431	42.11822441
432	42.07896847
433	42.0496185
434	42.01864357
435	41.98841341
436	41.95466334
437	41.93085035
438	41.89268941
439	41.85868743
440	41.83200341
441	41.78891802
442	41.74998036
443	41.72280668
444	41.68624523
445	41.64200205
446	41.60557425
447	41.57606423
448	41.54217781
449	41.50391402
450	41.47083351
451	41.44544706
452	41.41145508
453	41.37340801
454	41.34972804
455	41.31979332
456	41.29047109
457	41.25152789
458	41.21884311
459	41.18635761
460	41.15308151
461	41.12453479
462	41.0967911
463	41.0635869
464	41.02721698
465	41.00258445
466	40.96438684
467	40.94230485
468	40.91085398
469	40.87838092
470	40.84850579
471	40.81826469
472	40.78379032
473	40.74457444
474	40.71809631
475	40.68449494
476	40.65876651
477	40.62418593
478	40.59671557
479	40.56078436
480	40.53099615
481	40.50385259
482	40.46687271
483	40.43851147
484	40.41016634
485	40.38347171
486	40.3612285
487	40.33759803
488	40.30337466
489	40.27734411
490	40.24617783
491	40.21667307
492	40.1912651
493	40.16920485
494	40.14358085
495	40.11464175
496	40.09079817
497	40.06223146
498	40.04105349
499	40.01718872
500	39.99560412
501	39.9664126
502	39.93422088
503	39.905599
504	39.87933411
505	39.8553433
506	39.83118319
507	39.80744256
508	39.78767919
509	39.75866372
510	39.72915288
511	39.71051364
512	39.6888934
513	39.65302398
514	39.6255573
515	39.6054128
516	39.58114221
517	39.55463644
518	39.53464138
519	39.50359717
520	39.48138938
521	39.46259682
522	39.43323533
523	39.40340965
524	39.37547311
525	39.34792642
526	39.32708966
527	39.29618195
528	39.27288711
529	39.24860102
530	39.22892351
531	39.19553228
532	39.16980683
533	39.13959719
534	39.11215767
535	39.09142545
536	39.06581629
537	39.04625577
538	39.01894692
539	38.99381362
540	38.97005759
541	38.94489286
542	38.9194937
543	38.89783534
544	38.8708852
545	38.84908832
546	38.82271954
547	38.79027208
548	38.7681954
549	38.75042447
550	38.72979808
551	38.71006584
552	38.68544469
553	38.66478883
554	38.64829152
555	38.62508689
556	38.60826527
557	38.58568283
558	38.55721458
559	38.53857212
560	38.51483497
561	38.4886845
562	38.46210047
563	38.43760243
564	38.4172478
565	38.3896746
566	38.36532882
567	38.34945489
568	38.32711257
569	38.30692943
570	38.28235066
571	38.25584871
572	38.23361992
573	38.21462739
574	38.19174142
575	38.16848244
576	38.14869966
577	38.12514071
578	38.10082724
579	38.08176748
580	38.06106978
581	38.03476526
582	38.01226505
583	37.99224119
584	37.96619903
585	37.94982773
586	37.92990581
587	37.9082874
588	37.88916915
589	37.87020403
590	37.85144373
591	37.83025125
592	37.81235557
593	37.7903106
594	37.76615962
595	37.74693034
596	37.72265493
597	37.70170576
598	37.68015917
599	37.66382225
600	37.63965991
601	37.62256241
602	37.59878757
603	37.58027987
604	37.55891258
605	37.54203363
606	37.52114271
607	37.49789647
608	37.47483907
609	37.45318162
610	37.4286497
611	37.40626953
612	37.38632361
613	37.36209982
614	37.33700067
615	37.32080476
616	37.29240834
617	37.26962125
618	37.24859732
619	37.22883116
620	37.20742567
621	37.18496308
622	37.15487198
623	37.13386786
624	37.11438325
625	37.08947815
626	37.06568246
627	37.04919781
628	37.02734919
629	37.0065856
630	36.98554882
631	36.96076043
632	36.93871093
633	36.92402809
634	36.90525881
635	36.88445627
636	36.86517161
637	36.84228734
638	36.82037356
639	36.80258234
640	36.78094099
641	36.76223064
642	36.74134898
643	36.72635173
644	36.70710894
645	36.68677047
646	36.66406894
647	36.64376691
648	36.63004543
649	36.60776616
650	36.58582258
651	36.56456766
652	36.54898441
653	36.53068449
654	36.50971282
655	36.49705195
656	36.47923203
657	36.45919189
658	36.44195284
659	36.42455104
660	36.40260614
661	36.38762212
662	36.36574593
663	36.34038079
664	36.32339978
665	36.29944306
666	36.27929616
667	36.25776764
668	36.23883055
669	36.22038529
670	36.19879758
671	36.18449138
672	36.16751977
673	36.15065323
674	36.13282391
675	36.11152024
676	36.09395453
677	36.0769493
678	36.05919398
679	36.03695321
680	36.01669414
681	35.99984009
682	35.98606792
683	35.96536611
684	35.94420859
685	35.92790604
686	35.91634047
687	35.89725506
688	35.8790864
689	35.8616425
690	35.84385866
691	35.82468865
692	35.81179541
693	35.79275962
694	35.77433397
695	35.75663774
696	35.73900826
697	35.72088552
698	35.7037428
699	35.6860151
700	35.66578908
701	35.65268899
702	35.63128265
703	35.61334775
704	35.59302201
705	35.57677898
706	35.55373706
707	35.5393384
708	35.51740052
709	35.49547248
710	35.47836503
711	35.46231203
712	35.44593088
713	35.42752793
714	35.41203905
715	35.39367386
716	35.3779485
717	35.36058284
718	35.34643245
719	35.32842356
720	35.3109579
721	35.29327787
722	35.27230628
723	35.25589049
724	35.2403809
725	35.22644795
726	35.2081164
727	35.18912202
728	35.17127202
729	35.15574225
730	35.13900593
731	35.12415946
732	35.1020121
733	35.08493504
734	35.06546298
735	35.04931542
736	35.03390478
737	35.01593215
