iter	RMSE
0	177.9316934
1	174.8361798
2	171.9508371
3	169.2487421
4	166.7593869
5	164.0978667
6	161.3176995
7	158.7115832
8	156.3054714
9	153.8150994
10	151.5640523
11	149.2284554
12	147.0221207
13	145.0855063
14	143.0310987
15	141.1325572
16	139.293808
17	137.3529665
18	135.515857
19	133.7423314
20	132.198421
21	130.3237845
22	128.7460569
23	127.2120468
24	125.6214231
25	124.1163311
26	122.7020193
27	121.0494476
28	119.7903104
29	118.4692849
30	117.1716654
31	115.6963837
32	114.5423614
33	113.2127644
34	111.914365
35	110.8892165
36	109.7931377
37	108.6218206
38	107.4307001
39	106.332086
40	105.4585848
41	104.4788643
42	103.4817368
43	102.4198759
44	101.4995715
45	100.6644718
46	99.95579147
47	99.30156199
48	98.4054193
49	97.71431406
50	96.73450692
51	95.87253244
52	95.07929268
53	94.29911586
54	93.5268138
55	92.77224739
56	92.01187388
57	91.41156875
58	90.85186004
59	90.30247614
60	89.74201975
61	88.99099517
62	88.31181458
63	87.69835427
64	87.13769493
65	86.55294585
66	85.96990807
67	85.28369436
68	84.70984216
69	84.11936165
70	83.54393925
71	83.05499715
72	82.61657772
73	82.10751449
74	81.55376022
75	81.07231625
76	80.52222726
77	80.19515186
78	79.79899085
79	79.33803475
80	78.88385404
81	78.51394703
82	78.11543242
83	77.64859802
84	77.11558915
85	76.74896036
86	76.43301646
87	76.15960308
88	75.74872335
89	75.41595771
90	75.11130667
91	74.81964189
92	74.48615477
93	74.14603028
94	73.79217058
95	73.59238192
96	73.16914046
97	72.88387311
98	72.59833265
99	72.31693825
100	72.0265522
101	71.74144427
102	71.49953563
103	71.20596521
104	70.79742761
105	70.45788377
106	70.19800233
107	69.99927147
108	69.74058803
109	69.516581
110	69.11327756
111	68.8488356
112	68.59651636
113	68.32039717
114	68.11188672
115	67.96275547
116	67.67826386
117	67.46736424
118	67.23761998
119	67.02960196
120	66.85750407
121	66.6986534
122	66.46893669
123	66.10517675
124	65.75014681
125	65.58283267
126	65.30698559
127	65.192604
128	65.04780846
129	64.86169435
130	64.73048245
131	64.56070368
132	64.28867727
133	63.99802947
134	63.83636751
135	63.65268881
136	63.50928385
137	63.32363737
138	63.12751064
139	62.96695536
140	62.77448267
141	62.52855342
142	62.23916656
143	62.04200853
144	61.93014125
145	61.8225982
146	61.66868878
147	61.4993415
148	61.40711114
149	61.29485431
150	61.19530936
151	61.03183044
152	60.7663762
153	60.57162973
154	60.33286338
155	60.16556446
156	60.02042172
157	59.81747803
158	59.6182324
159	59.48468855
160	59.30618871
161	59.12897949
162	59.02442828
163	58.92410285
164	58.80829451
165	58.6456515
166	58.54737086
167	58.42102724
168	58.29799926
169	58.12826981
170	58.01846436
171	57.93040247
172	57.81187672
173	57.71019459
174	57.62969348
175	57.5123912
176	57.36992722
177	57.28144047
178	57.16602551
179	57.08253793
180	56.9441132
181	56.84783707
182	56.70969471
183	56.63535726
184	56.51639435
185	56.436361
186	56.340634
187	56.20123229
188	56.10586118
189	56.02939795
190	55.93659523
191	55.8576157
192	55.76063228
193	55.65501522
194	55.56943094
195	55.48545878
196	55.39122588
197	55.30560899
198	55.20594139
199	55.11934898
200	55.0284172
201	54.95364341
202	54.83237387
203	54.7505809
204	54.67391035
205	54.61301454
206	54.53878155
207	54.43174359
208	54.33197164
209	54.26721754
210	54.18269459
211	54.07471143
212	54.00511623
213	53.92139069
214	53.759784
215	53.65790925
216	53.53835522
217	53.4543689
218	53.34244875
219	53.26916989
220	53.16531723
221	53.08783738
222	52.98451625
223	52.89676534
224	52.82039214
225	52.7479316
226	52.6708482
227	52.55373545
228	52.44363908
229	52.36470073
230	52.2955825
231	52.23721715
232	52.15617828
233	52.06883928
234	52.0103895
235	51.92286567
236	51.86581002
237	51.79931857
238	51.73053728
239	51.67394581
240	51.58515973
241	51.51678282
242	51.45979712
243	51.36429617
244	51.29642264
245	51.2308037
246	51.15703528
247	51.10051034
248	51.05524311
249	51.0005193
250	50.92702603
251	50.86217494
252	50.81794112
253	50.69432941
254	50.64599813
255	50.57893079
256	50.49970432
257	50.42114454
258	50.356366
259	50.29548392
260	50.21930912
261	50.15648879
262	50.0874637
263	49.99674882
264	49.94622442
265	49.84934715
266	49.78336106
267	49.7235087
268	49.66347862
269	49.56539418
270	49.51201055
271	49.43931082
272	49.37115757
273	49.30087778
274	49.23325454
275	49.1747055
276	49.10892807
277	49.06154619
278	48.99506369
279	48.92651103
280	48.85224171
281	48.80613932
282	48.7508386
283	48.68736886
284	48.63003565
285	48.57260117
286	48.52204176
287	48.47391957
288	48.41816846
289	48.36921495
290	48.27510364
291	48.22348072
292	48.15499927
293	48.10086354
294	48.0264256
295	47.96415618
296	47.91071628
297	47.85158165
298	47.79414147
299	47.73364621
300	47.68312821
301	47.63755714
302	47.57354983
303	47.52638825
304	47.45875173
305	47.41314755
306	47.363115
307	47.31276133
308	47.27515387
309	47.22375155
310	47.17364413
311	47.1253915
312	47.08991284
313	47.04483555
314	47.00493053
315	46.9507458
316	46.90520866
317	46.86025524
318	46.82040773
319	46.78028293
320	46.72909885
321	46.67441902
322	46.6292756
323	46.57452938
324	46.49969148
325	46.42995113
326	46.37135434
327	46.33150898
